"","GSM1317914","GSM1317915","GSM1317916","GSM1317917","GSM1317918","GSM1317919","GSM1317920","GSM1317921","GSM1317922","GSM1317945","GSM1317946","GSM1317947","GSM1317948","GSM1317949","GSM1317950","GSM1317951","GSM1317952","GSM1317953","GSM1317954","GSM1317955","GSM1317956","GSM1317957","GSM1317958","GSM1317959","GSM1317960","GSM1317961","GSM1317962","GSM1317963","GSM1317964","GSM1317965","GSM1317966","GSM1317967","GSM1317968","GSM1317969","GSM1317970"
"ILMN_1764380",11.546017371504,11.476623654089,11.159424818012,11.6581121512477,11.8538841328251,11.4818743515085,11.1638610010269,11.5054144345839,11.4122449439567,11.1616398371104,10.7732688072676,10.6461870650688,10.9212541968513,10.3905298929251,10.6328186603112,10.5294253192962,10.5629757264119,10.5085838646868,10.4669294598503,10.5801762908659,10.6444456911198,10.2451758556388,10.7553987468894,10.2087843279208,10.4093779300398,10.4030200817886,10.5942694623472,10.379795794552,10.3830070792744,9.9316086484384,10.3033971678731,10.3416975871013,10.3953162698226,10.5991639072297,10.3642950826609
"ILMN_2112417",9.51419483573722,9.55902817835474,9.14565346664229,9.72446884059283,10.1934581939179,9.750132997949,9.75131233912185,10.0369922241027,9.62678041234193,9.39507020088959,9.03608705533245,8.9284679405029,8.41200939281277,8.53742849161704,8.1955662832435,8.30770334217859,8.32460119728212,8.22169879789944,8.2466836770934,8.34795594957522,8.09962370234847,8.44164165373658,8.19683455129162,8.52212170432594,8.64621846358095,8.85996153459262,8.23664598621285,8.22316123232486,8.26156039312832,8.13980481295714,8.36848528686,8.67761880834902,8.20867430780355,8.37897956932358,8.29951808358518
"ILMN_1666742",6.62981301838761,7.09813892898325,6.91526137552183,7.18284199891111,7.14427085321651,7.45737294172001,7.2174488173881,7.30039318385271,6.96501789944321,6.59982197932736,6.44295202560125,6.6699365630966,6.61235400125314,6.04240379653864,6.22333056633656,6.22918158477541,6.37743702865107,5.99801483344351,6.42750498684087,6.31924314021198,6.4464126501083,6.37596389562169,6.18216961754374,6.40968113184918,6.21199849662738,6.28445461452559,6.22573182784955,6.4122353835491,6.22752954735098,6.33932040215354,6.4738550662275,6.54480879096939,6.37396485481584,6.27901737644838,6.26864289115719
"ILMN_1700025",8.85182740516493,8.83957436693645,8.67986130621042,9.31879382551182,9.58143805050314,9.19474415067984,8.91420496187729,9.38578097825591,8.92743453568147,8.79852645519015,8.28154632655296,8.40920099780191,7.71847503437375,8.16537256578158,7.84985520056176,7.92222682568181,7.84985520056176,7.94202639021637,7.91347646282344,8.13789318165239,8.03445630476081,8.15025773818829,7.7906893453117,8.14711971837195,8.07052152968035,8.29788168395188,7.62060479953325,8.11329226592676,7.86595543785772,7.93675972941886,7.80666233170936,8.13721496116953,7.72520150899471,7.80567928232821,7.78324602539521
"ILMN_1661366",7.46342687404076,7.48162303814885,7.56974250836612,7.97727266943742,8.13789318165239,7.82002069311674,7.72780558007178,7.69936658269359,7.43405357713379,7.40040517427464,7.02060797786312,7.03542657444416,6.70364248532562,7.07848084687206,6.76929887110427,6.78793623298663,6.74701482116821,7.23360740249957,6.99020468154829,6.96985708664336,6.98666912883486,7.10759797137819,6.83786484431027,6.84413760300054,7.02176346663839,6.89078137490083,6.79084791728848,6.92739243877473,6.96424107215374,6.90499037972117,6.81347546292118,6.88066678509356,6.97504790457228,6.61740122340407,7.13339077663827
"ILMN_2363591",11.0054333337242,11.2373349561479,11.470429605695,10.8459276979969,11.5054144345839,11.0561228711261,11.2053423873976,11.4401769981824,11.0942800155044,10.8538504151234,10.3192553818852,10.2617515587249,9.32046709709002,9.39378143898156,9.63078516805918,9.67139300161696,9.67857216511907,9.89323573557282,9.81886249814159,10.2625828309725,10.3582133435517,10.1019427251615,9.75235255479861,9.8542288165509,10.4432877801071,9.94097870998929,10.0270682921762,10.0107546490568,10.3344491917333,10.0771462975357,9.72699646830409,10.0332551476496,9.51718742661229,9.55526841433223,10.1099408560585
"ILMN_1686388",7.33959748703248,7.72879909719496,7.51320848198887,7.80786569418254,8.30163166688594,7.39577203293125,7.86576927504998,8.03932273279807,7.81461760597804,7.42713877301593,7.21598981233806,6.98620939847487,7.00060561278169,7.04937626031644,6.74318553460689,6.78872833599359,6.78591911263091,6.83212762728087,6.88691969840736,6.90421107376547,6.96439363887418,6.9230263019924,6.81861386461209,6.89652894031005,7.03483553503086,7.03515327338154,6.97299141966354,7.03483553503086,7.107985527521,6.77198574189318,7.1362328919532,7.04289233983628,7.21799383330084,7.05167410291572,6.73239803551112
"ILMN_1721659",8.34718986838581,8.51205864025607,8.49691670367251,8.35519202985057,9.19055810500261,8.02213365027474,8.25981659413915,8.22691850855625,8.24153639246692,7.82449205448746,7.82614940221855,8.0092581922991,7.26931587572187,7.43791514190313,7.46551641554542,7.4389221092,7.55162020449979,7.68348508616063,7.47052797281874,7.58501532635339,7.56757706333304,7.6490574279744,7.40660815191637,7.61436516207535,7.79316579395739,7.75588976047013,7.29082307611155,7.48733926299877,7.68426554105059,7.57639064454869,7.50433163806866,7.7331228382587,7.42054454268536,7.37838567781664,7.45581987108288
"ILMN_2346831",7.12063277396334,7.19406126479334,7.24438971744978,7.39068139823099,7.36833558578432,7.54095512820141,7.47844982301692,7.37653658951281,7.20950108859378,6.84923075261804,6.90836461292342,7.13183248181988,6.97406878574327,6.80891802773236,6.68468897824547,6.92333143537304,6.85147676410813,6.84927145188944,6.77495036727707,6.81861386461209,6.94945496821246,6.99318200485246,6.91830975261833,6.80553744132249,6.86932358627528,6.68445702531371,6.9232419407619,6.87257083671583,6.69812591487662,6.94885067623906,7.0201454110523,6.79694783523819,6.79254550147204,6.95878343158187,6.95892668583938
"ILMN_1795298",7.77436622817615,7.15646836783555,6.8734731495814,7.15028800049295,7.42686167356155,7.8633774206913,7.8815050494602,7.63524769633882,7.50220539173516,6.55485170243797,7.07783810794866,6.97802071529848,6.80439605012626,6.84798456120623,6.46885518607589,6.38141885432025,6.53330071017626,5.81139533312096,6.30288929785446,6.35641851563749,6.58580265874251,6.34655229609356,6.25814485135633,6.18684426795367,6.30329402982992,6.4851697810327,6.45205050621032,6.32469031025141,6.11000176881994,6.11983414845054,5.99221547143502,6.12131694920171,6.1327893742729,6.22022410742006,6.2188229165265
