"gene","rho_inflammatory","p_inflammatory","fdr_inflammatory","rho_oxphos","p_oxphos","fdr_oxphos","neglog10FDR_oxph","status_oxph"
"MYL6",0.279483172758077,0.00146194101471955,0.00749561320344998,0.323408569419936,0.000208264650065681,0.00163424555260285,2.78668268823916,"Significant"
"FTHL7",0.300344979630736,0.000601772964173218,0.00349250426888904,0.188575490254321,0.0337359441072161,0.102272878394198,0.990239520983825,"Not significant"
"RPS12",-0.364908932967318,2.46424884458891e-05,0.000211304077305868,-0.28259538719079,0.00128603792626751,0.00739694135394631,2.13094782455326,"Not significant"
"B2M",0.167562446408023,0.0597006117614321,0.16026543867967,0.0770705805817049,0.389108261301263,0.581225122963753,0.235655621957087,"Not significant"
"TSPO",0.523414729194198,2.72304202472906e-10,1.21685638188558e-08,0.417469131194707,1.04494955573067e-06,1.8981867056049e-05,4.72166107261155,"Significant"
"LOC646195",-0.287374979076039,0.001053194980669,0.00565457373424059,0.0246031794058698,0.783651300853053,0.881317577506009,0.0548675679719026,"Not significant"
"RPS29",-0.401996802452516,2.80423635021709e-06,3.17514771985201e-05,0.0788525428859636,0.378204164792021,0.570378047265458,0.243837197979023,"Not significant"
"RPL41",-0.082765247723809,0.354922607014172,0.55837927809255,0.119826806160518,0.179638775319413,0.347122269451698,0.459517523494403,"Not significant"
"LOC91561",-0.203141550358096,0.0219870321273748,0.0735992205019455,0.134911091355966,0.130467508325658,0.277185614082522,0.557229313334053,"Not significant"
"RPLP1",-0.51830888873692,4.33722452772627e-10,1.78010166220335e-08,-0.156408477101746,0.0790831727833707,0.193847773193377,0.712539183541905,"Not significant"
"LOC389517",0.0336571213925919,0.707175097371044,0.838789063417034,-0.306230584648266,0.000462765392307915,0.0031612040469929,2.50014747074599,"Significant"
"MGC29891",-0.149544731146122,0.093333323471281,0.223529089501567,-0.285979213063546,0.0011168545249289,0.00656824286879061,2.18255079702359,"Not significant"
"LOC388474",-0.271273386982416,0.00203599581829202,0.00997344602655937,0.158442266900331,0.0752142795774895,0.187006231830226,0.728143920712786,"Not significant"
"BASP1",0.546320057519917,3.05864013854766e-11,1.76496163407616e-09,0.339133593675752,9.60783485784744e-05,0.000860532279062242,3.06523283439431,"Significant"
"LOC388720",-0.234569114454821,0.00794342248671479,0.0318483771064952,0.325751862881662,0.000186075805019443,0.00148854727455776,2.82723736810255,"Significant"
"C21orf55",-0.0851577449540229,0.341137105586715,0.545069759904494,-0.244865136799646,0.00552737677569206,0.0243970653157257,1.61266241111366,"Not significant"
"SLC25A39",-0.539491555874092,5.97164759804246e-11,3.20342605371322e-09,-0.401368170662141,2.91597411516131e-06,4.47608253589649e-05,4.34910191397704,"Significant"
"LOC645895",-0.107559298865075,0.22872788534444,0.420716834872113,-0.268653614431632,0.00225821565107459,0.0117167349072769,1.93119339593843,"Not significant"
"LOC285176",-0.419611457307008,9.07880983148153e-07,1.17496798636957e-05,0.0611979149170482,0.49429883341396,0.67485102220795,0.170792089945254,"Not significant"
"C14orf24",-0.368997119743684,1.96423825144954e-05,0.00017365751674478,-0.408623763557622,1.84846374013925e-06,3.06449941644244e-05,4.51364045701243,"Significant"
"ALAS2",-0.449480140992568,1.15181213025524e-07,1.99430985534321e-06,-0.339909359291533,9.23801108175047e-05,0.000832148660242607,3.0797990816951,"Significant"
"CREB1",0.0826386482278877,0.35566161802043,0.55904602322729,-0.118394628858254,0.184933960345553,0.354241543321819,0.450700508709316,"Not significant"
"CD14",0.581137692029463,7.88731792390979e-13,7.18974752346545e-11,0.396029974946965,4.05036416921665e-06,5.94880981513846e-05,4.22556991535075,"Significant"
"GJC1",0.141686356471859,0.112068564041104,0.255058825235984,-0.129027627948269,0.14824978955389,0.303089261773632,0.51842945008922,"Not significant"
"SEPX1",0.560933133040688,6.93797161253168e-12,4.9031580842608e-10,0.215845822763494,0.0148010799517521,0.0532961743961829,1.27330396354858,"Not significant"
"MRCL3",0.42853376480937,5.0017907144959e-07,6.96464827571145e-06,0.485886033976876,7.01363288455484e-09,2.84606435068573e-07,6.54575528456383,"Significant"
"PRR13",0.513072013165806,6.93598758917061e-10,2.61231305023867e-08,0.321362865793858,0.000229617596458289,0.00176719152930379,2.75271637883956,"Significant"
"ITM2B",0.387237491263586,6.87406048121935e-06,6.93998746577037e-05,0.255610551820906,0.0037263019300089,0.0176987030879921,1.75205855637065,"Not significant"
"ATP6V0C",-0.437115408557815,2.77338380489235e-07,4.24425566589335e-06,-0.361020825505143,3.04875856872951e-05,0.000327094741282157,3.48532643799211,"Significant"
"PNPT1",-0.0302268626681622,0.735854190673826,0.856642337567525,-0.218964588415305,0.0133872160252079,0.0493348422408386,1.30684625621291,"Not significant"
"LOC642947",0.0844455588839225,0.345204835374044,0.549036566645633,-0.147152018891298,0.0987543463805268,0.227711538867901,0.6426149617446,"Not significant"
"AKR1D1",-0.00486305805844716,0.956726160374614,0.980372563331149,-0.363056579593553,2.7281778124543e-05,0.000298816828835602,3.52459494747033,"Significant"
"LOC730740",-0.0399917384993076,0.655303579513898,0.805446806993034,-0.259190412440897,0.00325568901392564,0.0158463687176156,1.80007024300978,"Not significant"
"RPL38",-0.467623667135181,2.97399132907697e-08,6.26130944336799e-07,-0.164481683433287,0.064617714685963,0.167048611157434,0.777157130736237,"Not significant"
"RPS27A",-0.314590218500026,0.000315656674819163,0.00200444378641477,0.272897185984686,0.00190840704464294,0.0102221871058488,1.99045617402704,"Not significant"
"RPS16",-0.440991734819444,2.11345032467013e-07,3.36695795965448e-06,-0.0628402016347486,0.482763205876596,0.664906087296725,0.177239691011196,"Not significant"
"ZNF486",0.102933379015495,0.249488475601495,0.445681219713859,-0.0331773826659402,0.711162478533389,0.835612590950006,0.0779950247246246,"Not significant"
"RPL3",-0.59644415154447,1.37133302366348e-13,1.50005945836302e-11,-0.179529695473923,0.0434214715800712,0.123986017873455,0.906627288247333,"Not significant"
"TALDO1",0.504422953154805,1.48042177937272e-09,4.91371128591533e-08,0.342970226555541,7.90456809488716e-05,0.000731143487864949,3.1359973838181,"Significant"
"C21orf24",0.0783554327703023,0.381227194893709,0.584942062348651,-0.0536587940858767,0.54906829078684,0.719338942549692,0.143066427845132,"Not significant"
"RPS27",-0.262052176970318,0.00291872364901009,0.0136016713950808,0.225835226762569,0.0106817643815814,0.0413073291791128,1.38397288442964,"Not significant"
"ATP5EP2",0.0561585447299026,0.530585576877424,0.715610728458191,0.177267068343826,0.0461776673324336,0.130128128630903,0.885628815746132,"Not significant"
"CCNI",-0.323543801823337,0.000206920152938841,0.00138565454559177,-0.417795759738462,1.02285029014465e-06,1.86527575732212e-05,4.72925695418751,"Significant"
"LOC399900",0.229556510954697,0.00942726706257725,0.0366157598931813,0.0831230163966945,0.352839352586366,0.544816311233988,0.263749898575317,"Not significant"
"FKTN",-0.0498667789210028,0.577691269710109,0.751555494530669,-0.225698295243326,0.0107305991127218,0.0414383949465799,1.38259707467555,"Not significant"
"C19orf22",-0.402873209237072,2.65521337728498e-06,3.03096703081274e-05,-0.510390042724939,8.79425890043422e-10,4.96086905103194e-08,7.30444223661324,"Significant"
"LOC441034",-0.387577506358852,6.73677100486727e-06,6.82878782605123e-05,0.0851944569680933,0.340928245900162,0.533255439142192,0.273064706103769,"Not significant"
"GNB2L1",-0.397318924829317,3.74336160845107e-06,4.06470585701426e-05,0.0391615193664854,0.662015556342298,0.801330256531916,0.096188458910312,"Not significant"
"PDCD7",-0.094054540608397,0.29289387319532,0.494060808295075,-0.272144418309205,0.00196662483355534,0.010467170337935,1.98017070826527,"Not significant"
"LYN",0.550242495055655,2.0684222119373e-11,1.26003473196442e-09,0.160846874436474,0.0708384973780488,0.178920364976843,0.747340224587984,"Not significant"
"SHCBP1",-0.178819250009545,0.0442717076107994,0.127207845109651,-0.40945292824572,1.75343387125067e-06,2.91956603354041e-05,4.53468169760814,"Significant"
"NCOA4",-0.285359820036722,0.00114621455477416,0.00608003626050244,-0.308707707991682,0.000413653123633181,0.00288605073141631,2.53969603908434,"Significant"
"LOC440589",-0.185658916840184,0.0366368930122745,0.109797211589734,0.117261038698581,0.189205389647342,0.36017843591691,0.443482292190101,"Not significant"
"CDAN1",-0.112944216794715,0.206129005805684,0.392591171076646,-0.337780930055524,0.000102859012282117,0.000910246180093482,3.04084113493486,"Significant"
"LOC642210",-0.194621435531094,0.0283364251880449,0.0899578701963435,0.134282492088121,0.132285511624284,0.279774236821888,0.553192280270348,"Not significant"
"LITAF",0.578253075721824,1.08572751372932e-12,9.68646046734611e-11,0.119474211770479,0.180931971634718,0.349031396592385,0.457135504979129,"Not significant"
"LOC401019",-0.619347959954696,8.35831968142648e-15,1.16026098494518e-12,-0.238751578546532,0.00686754846993461,0.0289657421550855,1.53811533960652,"Not significant"
"XPNPEP3",-0.0163262795515897,0.85544083590005,0.926145113420681,-0.0479007710296149,0.592799184385197,0.7533963770432,0.122976472577043,"Not significant"
"LOC729603",0.109934116418597,0.218555516711854,0.408092492574851,-0.170404178803352,0.0554410253070374,0.149241835341537,0.826109418745383,"Not significant"
"RPL32",-0.516575926079733,5.07069834289598e-10,2.0217701998244e-08,0.0286067083572098,0.749530060943511,0.859059287380997,0.0659768626019396,"Not significant"
"IL18",-0.0282101540255078,0.752889485363437,0.867058586472145,-0.302213982604762,0.000553944430399897,0.0036483476241966,2.43790378764689,"Significant"
"SLC44A4",-0.100563045388492,0.260615695584308,0.457719391637389,-0.33776563068771,0.000102938196173427,0.000910626609538413,3.04065966326695,"Significant"
"SLC2A3",0.574790763516748,1.58681152001454e-12,1.33967910373879e-10,0.291971209558247,0.00086628747231833,0.00530936090525137,2.27495775236993,"Not significant"
"RAC2",0.325621184677861,0.000187252990981281,0.00126269043154598,0.182929563141863,0.0395390482481457,0.11560289539513,0.937031288420846,"Not significant"
"SLC16A12",-0.0152220468284526,0.865122227067421,0.930790574578595,-0.257743587368602,0.00343903783672309,0.0165847715035684,1.78029050758875,"Not significant"
"AIRE",-0.0862910184750003,0.334727080020499,0.538797095728454,-0.331360323253131,0.000141571457166223,0.00118410780945645,2.92660875460591,"Significant"
"RPL18A",-0.381730377110725,9.50107349194022e-06,9.17962780275437e-05,-0.0853719093646502,0.339919835817824,0.532174433686412,0.273945993323934,"Not significant"
"LOC441087",0.168869710565299,0.0577089192274218,0.156084573085649,0.0307459294690217,0.731489899937916,0.848129148464815,0.0715380107209082,"Not significant"
"CAP1",0.571807732499271,2.19269284096556e-12,1.7853061225195e-10,0.468009937643417,2.88699271067163e-08,9.10437567449136e-07,6.04074983025563,"Significant"
"ARPC2",0.54020357104926,5.57314610691174e-11,3.0283970389588e-09,0.482847112238762,8.97235022492619e-09,3.45689677349032e-07,6.46131358874596,"Significant"
"FLOT2",0.599488806604595,9.57587236921038e-14,1.08522240061696e-11,0.350406832062168,5.3758604726331e-05,0.000529981479745204,3.27573930659732,"Significant"
"FCN1",0.128872262310646,0.148742993077696,0.313052113337941,0.380508471968704,1.02004036815025e-05,0.000130006056850518,3.88603641388177,"Significant"
"CEBPB",0.638665925238695,6.5685533840669e-16,1.00156505811963e-13,0.205483946792391,0.0204721988002019,0.0691812176757885,1.16001179812938,"Not significant"
"VNN2",0.533974880493733,1.01420577832602e-10,5.03282113942887e-09,0.462725109300296,4.31998871563518e-08,1.28017192104435e-06,5.89273170273719,"Significant"
"LOC440733",-0.587479128699908,3.86349004664187e-13,3.81182533660638e-11,-0.090572726203849,0.311206385980166,0.502737990553165,0.298658295069931,"Not significant"
"LOC401206",-0.238064757670074,0.00703481969226588,0.0288068080465035,0.206557737725921,0.0198083965566778,0.0673731849357113,1.17151292173876,"Not significant"
