"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe","gene","rho_inflammatory","p_inflammatory","fdr_inflammatory","rho_oxphos","p_oxphos","fdr_oxphos","neglog10FDR_oxph","status_oxph"
-0.627461331069801,8.53937025520428,-4.54727593993796,5.85673376801022e-05,0.00248977507038504,1.73051773104264,"ILMN_1768784","PSMC2",0.264664182602175,0.00271644022651257,0.0128030947281435,0.744264388826397,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
0.454232286767112,8.14488322256004,5.56641855964073,2.57766575252367e-06,0.000331920373932487,4.6848454257104,"ILMN_1728528","ZNF655",-0.409331646044244,2.19394615887809e-06,2.5649391919709e-05,-0.705726237345332,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
-0.504638293746819,7.62846933229941,-3.56146117681756,0.00105278826717589,0.0176682344576977,-0.974202644559017,"ILMN_1800008","ACAT1",0.218685554930634,0.013652806849141,0.0498535511636484,0.699709411323585,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
0.504341107367427,8.91779824837243,5.26709211027835,6.49236825090223e-06,0.000570895581529336,3.80968860471149,"ILMN_1783743","FLJ41423",-0.454548650168729,1.12241313678902e-07,1.95289018730808e-06,-0.693680868016498,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
-0.329859614992676,7.36821388999785,-3.86322443641145,0.000444643349929066,0.00971348675317288,-0.172259836437172,"ILMN_2056479","TXNL2",0.197465551181102,0.02621019529444,0.0846172595165937,0.692614595050619,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
0.256363796056443,6.79646981391089,3.53645067194938,0.00112947992549585,0.018559598923897,-1.03936434848176,"ILMN_1893909","IKZF2",-0.288672900262467,0.00104181453268124,0.00560423601191518,-0.676802118485189,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
-0.364187047787203,6.39648809672308,-4.6100102256146,4.8447539983741e-05,0.00217314824800231,1.90940685247669,"ILMN_1716445","LOC727761",0.250826068616423,0.00455000769416341,0.0199327256795154,0.671435601799775,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
-0.588133100979132,7.23908095851176,-5.11835733418707,1.02610751253351e-05,0.000771439550315341,3.37631674734241,"ILMN_1698209","AGPS",0.544789323209599,2.2250738585072e-308,3.7073267023962e-306,0.669221034870641,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
-0.316049711979301,6.57531166008659,-3.92063546304988,0.000376414846165603,0.00871037161565668,-0.0166735076590863,"ILMN_1770378","ANAPC10",0.287026621672291,0.00111550104615535,0.00593965943285134,0.666754546306712,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
0.85318358849086,7.93956718508,4.86288829717287,2.24496560330931e-05,0.00128743896989782,2.63576588774182,"ILMN_2108823","FZD7",-0.486214613798275,1.06234041926153e-08,2.57986704712364e-07,-0.662735517435321,2.2250738585072e-308,3.91472959483795e-306,300,"Significant"
